date,price,volume,market_cap,daily_return
2024-10-17 02:00:00,2923.2905797344524,4266902.513951893,1421162151.8532715,
2024-10-18 02:00:00,2909.892910268571,8117953.510280699,1410001499.5852675,-0.004583078247082262
2024-10-19 02:00:00,2955.3919012810657,4801586.975383264,1432119436.8004029,0.015635967513421445
2024-10-20 02:00:00,2966.151750558398,2158563.785311236,1436026279.8898742,0.0036407521021724065
2024-10-21 02:00:00,3068.05136931045,3933502.0418135957,1480050141.4965692,0.034354148850566535
2024-10-22 02:00:00,2983.792337789214,1892290.5619543707,1437953144.9820406,-0.0274633705172197
2024-10-23 02:00:00,2933.340418114117,2969433.74098509,1413321746.9641886,-0.01690865648930462
2024-10-24 02:00:00,2822.4164004565923,2078945.2065304418,1359275831.9546716,-0.0378149146865262
2024-10-25 02:00:00,2832.102481801222,12112930.61319011,1362266425.666078,0.0034318399450423698
2024-10-26 02:00:00,2720.6673499395843,3285708.967016982,1307365658.4222393,-0.03934713965250469
2024-10-27 02:00:00,2778.6277515894453,3239376.2806111462,1333591483.3620505,0.02130374433726634
2024-10-28 01:00:00,2806.41316899914,9909570.011146255,1347515134.6975322,0.00999969045648541
2024-10-29 01:00:00,2873.8497819945205,8079773.088683587,1382868998.0301347,0.0240294671291863
2024-10-30 01:00:00,2953.858253319803,6605862.024028879,1422439684.701213,0.027840171684184067
2024-10-31 01:00:00,2980.7132763320533,7323876.896849299,1427375767.5943599,0.009091507008526234
2024-11-01 01:00:00,2823.9810057235445,4552872.025585404,1345324371.8475323,-0.05258213591123306
2024-11-02 01:00:00,2799.106046194042,38592345.791056596,1331978810.6315324,-0.00880847267707785
2024-11-03 01:00:00,2784.8526324312097,27549098.0380284,1318156966.6543891,-0.005092130675868001
2024-11-04 01:00:00,2747.012314198256,9356458.619659096,1301602749.0454843,-0.013587906876034173
2024-11-05 01:00:00,2675.3293065996086,17759608.42928897,1265408951.992463,-0.026094898529629873
2024-11-06 01:00:00,2711.078553109608,12161939.947419355,1279628220.174951,0.01336255930132113
2024-11-07 01:00:00,3040.9666432785093,13772397.433751062,1433493752.6629713,0.12168149454412513
2024-11-08 01:00:00,3231.6841287962484,7286384.533984343,1521728691.6537569,0.06271607284456238
2024-11-09 01:00:00,3306.7764337601734,24102841.94714821,1567606112.4212866,0.023236276186403115
2024-11-10 01:00:00,3474.5857938792906,6521794.302977456,1662648468.5728984,0.050747113837477986
2024-11-11 01:00:00,3559.9046304043577,6144666.784024873,1687349637.705643,0.024555110043724238
2024-11-12 01:00:00,3758.3616439719362,10165316.611696735,1781121326.7961164,0.05574784556659207
2024-11-13 01:00:00,3636.463661757162,7971993.446874151,1723035538.8654394,-0.03243380860122591
2024-11-14 01:00:00,3560.387018473282,4075845.9565335684,1687792117.5406222,-0.020920501443184913
2024-11-15 01:00:00,3413.588643929132,7106932.086377668,1617183502.7531288,-0.04123101611776403
2024-11-16 01:00:00,3449.7079987657053,8505453.21887581,1632334309.465171,0.010581050795563485
2024-11-17 01:00:00,3524.6733151840212,38076302.799861625,1643582187.6137884,0.02173091648485559
2024-11-18 01:00:00,3442.0721258024378,15222897.80083379,1603462340.041292,-0.023435133413852505
2024-11-19 01:00:00,3574.5266379564587,57939630.844577715,1669637401.877771,0.03848103912788936
2024-11-20 01:00:00,3476.2557343497638,4434651.345093742,1616186590.850761,-0.027492004833086336
2024-11-21 01:00:00,3441.5315417147012,9546848.3336045,1605878410.427561,-0.009988963784207217
2024-11-22 01:00:00,3755.2185285083533,30113084.57690517,1755340649.7027507,0.09114749726726656
2024-11-23 01:00:00,3708.048068959569,31703884.02682608,1727311621.158384,-0.012561308800188908
2024-11-24 01:00:00,3782.699639211152,49873516.01223363,1759421658.2226155,0.02013230919968345
2024-11-25 01:00:00,3744.8827104005845,8170616.573301648,1742244376.544589,-0.009997338519442622
2024-11-26 01:00:00,3806.2067618397728,22156049.434936404,1765522127.995761,0.01637542646365775
2024-11-27 01:00:00,3710.9898960291252,6025273.5908709895,1721264116.1014202,-0.025016209514751475
2024-11-28 01:00:00,4085.050061149837,8732885.764167413,1890869930.4497192,0.10079794760987304
2024-11-29 01:00:00,3996.2042914578133,6294358.457505875,1850933753.10822,-0.021749003895197294
2024-11-30 01:00:00,4010.4244622819087,5516283.999119149,1854835984.5219162,0.0035584193867395086
2024-12-01 01:00:00,4130.192918709154,7664505.514244751,1913504666.16655,0.029864284330416657
2024-12-02 01:00:00,4144.08427189522,24631850.25529056,1907391128.663366,0.0033633666657895134
2024-12-03 01:00:00,4059.3540337303957,6873533.413326885,1869332118.077871,-0.020446070254762083
2024-12-04 01:00:00,4050.2406931959217,9118380.38405719,1862303483.061553,-0.0022450223505386946
2024-12-05 01:00:00,4294.938895699753,17015029.680823658,1972990036.3406203,0.060415718728742185
2024-12-06 01:00:00,4256.2097624723765,19746554.05962692,1949157232.2244613,-0.00901738864460988
2024-12-07 01:00:00,4493.217606943448,9706299.36733075,2055778634.291607,0.05568518886470408
