date,price,volume,market_cap,daily_return
2024-10-17 02:00:00,2.4380456685858452e-05,581385629.3801154,1690072944.1558573,
2024-10-18 02:00:00,2.2380465258308936e-05,340320456.7302179,1554286176.7622514,-0.08203256621971255
2024-10-19 02:00:00,2.365340146992947e-05,274191575.4611662,1644441403.5485265,0.05687711121858596
2024-10-20 02:00:00,2.3494699103616424e-05,211169728.73347974,1632162759.50794,-0.006709494468049582
2024-10-21 02:00:00,2.4143015134498004e-05,192041297.97596148,1675178598.9441466,0.02759414061965093
2024-10-22 02:00:00,2.3448749046569707e-05,334871678.3987502,1629066712.305745,-0.028756395340872598
2024-10-23 02:00:00,2.2746499614394353e-05,369773617.66868144,1580036664.5998054,-0.029948268488893537
2024-10-24 02:00:00,2.1886936305366457e-05,233693501.7809163,1520561188.8577745,-0.03778881689928015
2024-10-25 02:00:00,2.2944395521526412e-05,218432320.5958137,1591305227.7582288,0.04831462939382147
2024-10-26 02:00:00,2.0319874983910575e-05,262311691.6602024,1408678361.4035726,-0.11438612689331973
2024-10-27 02:00:00,2.1121833927730076e-05,159452726.17969555,1467803776.8120446,0.0394667262694528
2024-10-28 01:00:00,2.1329104210375374e-05,130338390.22157219,1481797413.4852834,0.009813081731183448
2024-10-29 01:00:00,2.125759410587704e-05,242888957.24039435,1478260900.5970712,-0.0033527007882285798
2024-10-30 01:00:00,2.1902767267414017e-05,245207569.61568207,1520267316.9532728,0.03035024369755024
2024-10-31 01:00:00,2.114921211815911e-05,240420238.2429433,1470759467.9597917,-0.034404563590282655
2024-11-01 01:00:00,2.0190044992799286e-05,154750092.22773588,1403615043.4595604,-0.045352380977647155
2024-11-02 01:00:00,1.92336897071029e-05,167555851.5318886,1336133460.6917675,-0.04736766490800137
2024-11-03 01:00:00,1.895039991531855e-05,104010390.56026772,1316196616.5388477,-0.014728832382053691
2024-11-04 01:00:00,1.803832434687152e-05,175022352.35725266,1254185565.7638972,-0.04812962114376029
2024-11-05 01:00:00,1.7831103834780935e-05,138781129.02599725,1238355497.3028321,-0.011487791665445002
2024-11-06 01:00:00,1.9178607187620934e-05,229536028.64552796,1334392554.6282058,0.07557038337758937
2024-11-07 01:00:00,2.259087562462789e-05,575030794.7325906,1568886209.1785762,0.17792055510733062
2024-11-08 01:00:00,2.2578147878482232e-05,351707416.593756,1563793663.6076562,-0.0005634020724625266
2024-11-09 01:00:00,2.196069282321879e-05,304441142.0714333,1524279629.6298313,-0.027347462625661012
2024-11-10 01:00:00,2.2404383322389775e-05,260636053.62324604,1556682997.9662085,0.020203847972495304
2024-11-11 01:00:00,2.5324451196177707e-05,1104139619.7772055,1759666288.6428697,0.1303346685230906
