id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h
story-2,ip,Story,3.97,1065246966,79,41012521.0,-4.93413
usdt0,usdt0,USDT0,1.0,1034613316,80,97416513.0,0.16869
bonk,bonk,Bonk,1.337e-05,1034492559,82,145479205.0,-0.65015
nexo,nexo,NEXO,1.033,1033699281,81,10616714.0,-0.09435
binance-peg-weth,weth,Binance-Peg WETH,1676.64,1014186517,83,48638706.0,4.62603
quant-network,qnt,Quant,67.81,985139177,84,25464770.0,0.86316
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,1742.13,964289009,85,2662213.0,4.68902
worldcoin-wld,wld,Worldcoin,0.763745,961233587,86,118272112.0,-2.09082
blockstack,stx,Stacks,0.620613,943365173,87,46202077.0,-1.97141
eos,eos,EOS,0.620675,940960215,88,201254541.0,-2.87566
sei-network,sei,Sei,0.184295,899673562,89,112145871.0,2.11619
fartcoin,fartcoin,Fartcoin,0.895735,895963721,90,339031600.0,2.9925
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),0.999123,848255448,91,20234925.0,-0.09074
paypal-usd,pyusd,PayPal USD,1.001,835431312,93,43064488.0,0.14303
dexe,dexe,DeXe,14.62,835007946,92,15079116.0,-2.69804
curve-dao-token,crv,Curve DAO,0.617403,813980529,94,203234052.0,1.2338
injective-protocol,inj,Injective,8.31,812597154,95,74759733.0,0.6956
rocket-pool-eth,reth,Rocket Pool ETH,1890.03,811257849,96,5735105.0,4.58735
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),0.999841,805905148,97,11658378.0,0.01229
jasmycoin,jasmy,JasmyCoin,0.01660789,800598155,98,180466444.0,0.34724
tether-gold,xaut,Tether Gold,3231.77,796583942,99,23648680.0,-0.23032
the-graph,grt,The Graph,0.080947,772239218,100,39235805.0,-0.39239
