symbol,avg_correlation
PYUSD,-0.03376629072095236
USDC,0.027174392980962407
BSC-USD,0.03125931275655744
XAUT,0.03561697372741316
USDS,0.05187496399486529
DAI,0.08327497855337712
FDUSD,0.09395378967994421
USDT,0.12806578839953228
SUSDE,0.14997375894646844
FTN,0.15633561508811386
TKX,0.1810171073204569
TRX,0.19977434928798107
USDE,0.2198612487135242
DEXE,0.23609396500713606
BGB,0.24382632899570406
LEO,0.28944176650517717
